day	num_rats	Status
2013-09-05	36	Closed
2013-09-05	6	Pending
2013-09-06	31	Closed
2013-09-07	29	Closed
2013-09-06	4	Pending
2011-10-16	11	Closed
2011-10-17	5	Pending
2011-10-17	34	Closed
2015-07-18	17	Assigned
2015-07-19	18	Closed
2015-07-19	10	Pending
2015-07-20	48	Closed
2015-07-20	10	Assigned
2015-07-19	4	Assigned
2015-07-20	24	Pending
2010-01-01	9	Pending
2010-01-02	12	Pending
2017-05-23	49	Closed
2010-01-03	3	Pending
2010-01-04	24	Pending
2013-09-07	2	Pending
2013-09-08	2	Pending
2013-09-08	14	Closed
2013-09-09	7	Pending
2013-09-09	29	Closed
2013-09-10	31	Closed
2011-10-18	27	Closed
2011-10-19	32	Closed
2011-10-18	3	Pending
2011-10-19	4	Pending
2017-10-14	32	Closed
2011-10-20	29	Closed
2011-10-20	3	Pending
2011-10-26	26	Closed
2011-10-26	1	Pending
2015-07-21	37	Closed
2015-07-21	47	Assigned
2015-07-21	6	Pending
2015-07-22	41	Closed
2014-09-19	9	Pending
2015-08-13	45	Closed
2015-09-13	41	Closed
2015-09-25	42	Closed
2015-10-08	50	Closed
2015-10-09	43	Closed
2015-10-14	48	Closed
2015-12-20	19	Closed
2016-01-21	23	Closed
2016-01-28	29	Closed
2016-02-12	23	Closed
2016-03-14	29	Closed
2016-03-25	37	Closed
2016-05-05	44	Closed
2016-05-13	42	Closed
2016-06-01	50	Closed
2016-06-06	38	Closed
2016-06-20	45	Closed
2016-07-11	18	Assigned
2016-07-21	33	Closed
2016-08-02	50	Closed
2016-08-27	29	Closed
2016-09-06	46	Closed
2016-10-06	47	Closed
2016-10-19	37	Closed
2016-10-20	36	Closed
2016-10-28	34	Closed
2017-01-03	38	Closed
2017-01-21	26	Closed
2017-01-31	32	Closed
2017-03-15	10	Pending
2017-03-20	37	Closed
2017-03-29	50	Closed
2017-04-14	27	Closed
2017-04-15	22	Closed
2017-04-25	16	Pending
2017-05-10	4	Assigned
2017-05-12	42	Closed
2017-06-30	35	Closed
2017-07-02	26	Closed
2017-07-07	57	Closed
2017-07-08	34	Closed
2017-07-17	88	Closed
2017-07-18	52	Closed
2017-07-29	44	Closed
2017-07-30	2	Assigned
2017-07-31	63	Closed
2017-08-01	55	Closed
2017-08-11	65	Closed
2017-08-21	58	Closed
2017-08-23	24	Pending
2017-08-24	63	Closed
2017-09-02	30	Closed
2017-09-17	32	Closed
2017-09-18	61	Closed
2017-09-22	43	Closed
2017-09-23	25	Closed
2017-05-20	23	Closed
2013-09-10	7	Pending
2013-09-11	29	Closed
2013-09-11	5	Pending
2013-09-12	30	Closed
2013-09-12	4	Pending
2013-09-13	3	Pending
2013-09-14	17	Closed
2013-09-13	27	Closed
2013-09-19	27	Closed
2013-09-19	6	Pending
